"artista","nome_musica","album","ano","duração"
"Wiu","Coração de Gelo","Manual de Como Amar Errado","2022","2:48"
"Henrique e Juliano","Acordo","Acordo (Ao Vivo)","2021","2:49"
"Matheus e Kauan","Vou Te Superar","Tem Moda Pra Tudo (Ao Vivo)","2019","3:09"
"Luan Santana","Água com Açucar","VIVA (Ao Vivo)","2019","4:09"
"Luan Santana","Meio Termo","Luan City 2.0","2023","2:29"
"Ana Castela","Nosso Quadro","AgroPlay Verão Vol.1","2023","2:53"
"DJ Boy","BokaLoka","Boka Loka","2022","9:13"
"Exaltasamba","Livre pra Voar","Pagode do Exalta ao Vivo","2007","4:04"
"Exaltasamba","Tchau e Bença","Pagode do Exalta ao Vivo","2007","3:08"
"Exaltasamba","Ta vendo aquela lua","25 Anos","2010","3:16"